id;start_date;end_date;language
1;2022-04-08T10:44:50;2022-04-08T08:35:05;ENGLISH
2;2022-04-07T20:12:25;2022-04-08T05:37:54;FRENCH
3;2022-04-08T06:08:37;2022-04-07T18:13:45;SPANISH
4;2022-04-08T10:39:26;2022-04-07T16:05:45;FRENCH
5;2022-04-08T12:55:49;2022-04-07T21:14:47;ENGLISH
6;2022-04-07T22:26:32;2022-04-08T12:26:52;SPANISH
7;2022-04-08T06:30:20;2022-04-07T17:04:29;FRENCH
8;2022-04-07T20:56:13;2022-04-07T17:32:02;FRENCH
9;2022-04-07T21:47:51;2022-04-08T09:19:17;FRENCH
10;2022-04-07T17:44:49;2022-04-08T10:42:18;FRENCH
